,Creator,Latest release date,Current stable version,Programming language,License
bbPress<ref></ref>,WordPress Foundation,2017-09-12,2.5.14,PHP<ref name=":2"></ref>,GPL<ref></ref>
Beehive Forum<ref></ref>,Project Beehive Forum Developers,2016-11-05,1.5.2,PHP,GPL
Discourse<ref></ref>,Civilized Discourse Construction Kit  Inc.,2018-09-14,2.1.1,Ruby  JavaScript,GPL
Discuz!<ref></ref>,Comsenz Inc.,2018-01-01,X3.4,PHP,Discuz! EULA (proprietary  gratis for non-commercial use)
FluxBB<ref></ref>,FluxBB.org Developers,2016-06-16,1.5.10,PHP,GPL
FUDforum<ref></ref>,Advanced Internet Designs Inc.,2018-04-09,3.0.9,PHP,GPL
Ikonboard<ref></ref>,Matt Mecham (original creator) Joshua Johnson,2012-10-19,3.1.5A,Perl,Proprietary
Invision Power Board<ref></ref>,Invision Power Services Inc.,2018-08-08,4.3.5,PHP,Proprietary
MyBB<ref></ref>,MyBB Group,2018-08-22,1.8.18,PHP,LGPL  moving to BSD in 2.0<ref></ref>
Phorum<ref> Open Source PHP Forum Software|url = http://www.phorum.org/|website = www.phorum.org|accessdate = 2015-11-24}}</ref>,Brian Moon,2017-08-23,5.2.23,PHP,Phorum License 2 (BSD like)
phpBB<ref></ref>,phpBB Ltd.,2018-09-13,3.2.3,PHP,GPL
PunBB<ref></ref>,PunBB,2015-10-14,1.4.4,PHP,GPL
Simple Machines Forum<ref></ref>,Simple Machines,2017-11-19<ref name="simplemachines.org"></ref>,2.0.15<ref name="simplemachines.org"/>,PHP,BSD License
Syndie<ref></ref>,Anonymous (related to I2P),2014-08-14,1.107b,Java,Open source  multiple licenses
UBB.threads<ref></ref>,UBB Systems  LLC,2018-09-18,7.6.2,PHP,Proprietary
Vanilla Forums<ref></ref>,Vanilla Forums,2018-05-14,2.6.0,PHP,Proprietary/GPL<ref></ref>
vBulletin<ref></ref>,vBulletin Solutions Inc.,2018-06-4,5.4.3,PHP<ref></ref>,Proprietary<ref></ref>
Thredded<ref name="thredded"></ref>,Joel Oliveira  Gleb Mazovetskiy  et al.,2018-10-21,0.16.1,Ruby,MIT
XenForo,XenForo Limited  Kier Darby  Mike Sullivan.,2018-09-11,2.0.10,PHP<ref></ref>,Proprietary
,Creator,Latest release date,Current stable version,Programming language,License
